run,frames,num_mean,num_median,num_max,sum_mean,sum_median,sum_max,top_classes(json)
A,5600,0.000,0.000,0,0.000,0.000,0.000,{}
B,68805,0.000,0.000,0,0.000,0.000,0.000,{}
